Remark,Week dates,measurement week,Treatment,Season,CO2flux,CH4flux,mgCH4,averageTemp,MeanSoilMoisture,MEANpH,meanGCC,canopyheight,CanopyExtentEstimate,EvapotranspirationRate,buds,bursts
1,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.45,0.307899514,,0.69,1.4,0,0
2,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.8,0.30662013,,0.58,1.6,2,0
3,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.4,0.306178681,,0.52,1.6,0,0
4,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.4,0.305852916,,0.02,1,0,0
5,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.5,0.304458565,,0.05,1.4,0,0
6,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.65,0.307028732,,0.09,1.6,0,0
7,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.4,0.308340725,,0.1,1.4,0,0
8,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.4,0.307968806,,0.36,1.6,0,0
9,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.65,0.305527147,,0.33,1.6,0,0
10,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.7,0.304566901,,0.41,1.8,0,0
11,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.4,0.303383716,,0.43,1.4,0,0
12,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.4,0.306080115,,0.6,1.8,0,0
13,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.35,0.304781094,,0.53,1.6,0,0
14,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.45,0.305873135,,0.58,1.6,0,0
15,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.2,0.304992248,,0.62,1.6,0,0
16,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.6,0.304235774,,0.61,1.6,0,0
17,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.55,0.30525304,,0.6,1.8,0,0
18,May 13 2025 - May 21 2025,1,Extended,Early summer,NA,NA,NA,10,NA,7.3,0.303899347,,0.06,1.6,0,0
19,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.7,0.305685198,,0.07,1.6,0,0
20,May 13 2025 - May 21 2025,1,Control,Early summer,NA,NA,NA,10,NA,7.5,0.306659172,,0.11,1.8,0,0
21,May 13 2025 - May 21 2025,1,Heatwave,Early summer,NA,NA,NA,10,NA,7.5,0.306676641,,0.12,1.4,0,0
1,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.55,0.312768574,,0.33,1.4,2,2
2,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.4,0.313889012,,0.41,1.4,0,0
3,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.75,0.314025335,,0.47,1.4,0,0
4,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.4,0.309100467,,0.46,1.2,0,0
5,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.4,0.309872221,,0.51,1.2,0,0
6,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.5,0.312113147,,0.56,1.4,0,0
7,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.25,0.313810699,,0.52,1.4,0,0
8,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.4,0.314486943,,0.63,1.4,0,0
9,May 21 2025 - May 28 2025,2,Control,Early summer,NA,NA,NA,10,NA,7.45,0.311103419,,0.53,1.4,0,0
10,May 21 2025 - May 28 2025,2,Extended,Early summer,NA,NA,NA,10,NA,7.5,0.309940538,,0.52,1.4,0,0
11,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.5,0.307990121,,0,1.4,0,0
12,May 21 2025 - May 28 2025,2,Heatwave,Early summer,NA,NA,NA,10,NA,7.65,0.312774097,,0.11,1.4,0,0
