"PotID","Week.dates","measurement.week","Treatment","Season","respiration.measurement.date","seasonal.respiration","CO2flux","CH4flux","mgCH4","averageTemp","MeanSoilMoisture","MEANpH","meanGCC","canopyheight","EvapotranspirationRate","graminoid.cover","shrub.cover","forb.cover","bryophyte.cover","Cover","Diff_height","Rate_change_percent"
1,"May 13  - May 21",-2,"Extended","Summer","24-Jun",NA,NA,NA,NA,10,5.85,7.45,0.307899514,NA,1.4,0.08,0.03,0.03,0.17,0.31,NA,NA
1,"May 21  - May 28",-1,"Extended","Summer","24-Jun",NA,NA,NA,NA,10,4.7,7.55,0.312768574,NA,1.4,0.1,0.08,0.05,0.18,0.41,NA,NA
1,"May 28 - June 4",0,"Extended","Summer","24-Jun",NA,NA,NA,NA,10,7.5,7.3,0.320288652,NA,1.8,0.12,0.18,0.1,0.2,0.6,NA,NA
1,"June 4 - June 11",1,"Extended","Summer","24-Jun",NA,NA,NA,NA,10,8.9,7.05,0.326933146,10.3,1.6,0.2,0.2,0.12,0.2,0.72,NA,NA
1,"June 11 - June 18",2,"Extended","Summer","24-Jun",NA,NA,NA,NA,10,8.05,7.3,0.331982877,18.6,1.2,0.22,0.22,0.13,0.12,0.69,8.3,80.5825242718447
1,"June 18 - June 25",3,"Extended","Summer","24-Jun",NA,2.338807989,8.51e-09,1.18e-05,10,10,6.65,0.336344052,19,1.6,0.25,0.23,0.15,0.1,0.73,0.399999999999999,2.15053763440859
1,"June 25 - July 2",4,"Extended","Summer","24-Jun",NA,NA,NA,NA,10,9.55,7.05,0.340186078,19.1,1.4,0.27,0.25,0.2,0.08,0.8,0.100000000000001,0.526315789473692
1,"July 2 - July 10",5,"Extended","Heatwave","11-Jul",NA,NA,NA,NA,10,8.95,7.15,0.347070773,18.6,1.4,0.27,0.2,0.25,0.05,0.77,-0.5,-2.61780104712042
1,"July 10 - July 16",6,"Extended","Heatwave","11-Jul",NA,2.434588052,-1.57e-08,-2.17e-05,10,9.8,6.95,0.359258773,19.1,1.4,0.32,0.18,0.28,0.02,0.8,0.5,2.68817204301075
1,"July 16 -  July 23",7,"Extended","Autumn warm","24-Jul",NA,NA,NA,NA,10,9.5,6.7,0.359186527,18.6,0.6,0.35,0.15,0.32,0.01,0.83,-0.5,-2.61780104712042
1,"July 23 - July 30",8,"Extended","Autumn warm","24-Jul",NA,1.281279722,-6.95e-09,-9.63e-06,10,10,6.8,0.364941043,18.4,0.6,0.37,0.12,0.35,0.01,0.85,-0.200000000000003,-1.07526881720432
1,"July 30 - August 6",9,"Extended","Autumn warm","07-Aug",NA,NA,NA,NA,10,9.65,6.95,0.366340789,18.1,1.2,0.4,0.1,0.38,0.01,0.89,-0.299999999999997,-1.63043478260868
1,"August 6 - August 13",10,"Extended","Autumn cold","07-Aug",NA,2.219362821,-5.72e-08,-7.93e-05,2.5,9.15,7.25,0.364778065,18.5,1,0.42,0.05,0.4,0.01,0.88,0.399999999999999,2.20994475138121
1,"August 13 - August 20",11,"Extended","Autumn cold","21-Aug",NA,NA,NA,NA,0.5,9.55,7,0.362021191,17.4,1,0.42,0.05,0.4,0.01,0.88,-1.1,-5.94594594594595
1,"August 20 - August 27",12,"Extended","Autumn cold","21-Aug",NA,0.8295137,-5.86e-08,-8.12e-05,-1.5,8.95,6.95,0.352274157,16.6,NA,0.42,0.05,0.4,0.05,0.92,-0.799999999999997,-4.59770114942527
2,"May 13  - May 21",1,"Heatwave","Summer","11-Jun",NA,NA,NA,NA,10,3.95,7.8,0.30662013,NA,1.6,0.02,0,0.05,0.08,0.15,NA,NA
2,"May 21  - May 28",2,"Heatwave","Summer","11-Jun",NA,NA,NA,NA,10,4.85,7.4,0.313889012,NA,1.4,0.03,0,0.11,0.1,0.24,NA,NA
2,"May 28 - June 4",3,"Heatwave","Summer","11-Jun",NA,NA,NA,NA,10,4.65,7.6,0.315456016,NA,1.6,0.05,0.05,0.2,0.05,0.35,NA,NA
2,"June 4 - June 11",4,"Heatwave","Summer","11-Jun",NA,0.98238772,-1.32e-07,-0.000183,10,6.45,7.2,0.31849024,19.4,1.4,0.08,0.07,0.23,0.08,0.46,NA,NA
2,"June 11 - June 18",5,"Heatwave","Heatwave","24-Jun",NA,NA,NA,NA,16,7.4,7.15,0.319340025,20.6,1.2,0.11,0.09,0.25,0.05,0.5,1.2,6.18556701030929
2,"June 18 - June 25",6,"Heatwave","Heatwave","24-Jun",NA,2.559001063,9.35e-09,1.3e-05,16,8.95,7.15,0.328064749,19.4,1.4,0.15,0.12,0.28,0.05,0.6,-1.2,-5.82524271844662
2,"June 25 - July 2",7,"Heatwave","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,9.15,7.3,0.339788832,23.6,0.8,0.32,0.15,0.4,0.02,0.89,4.2,21.6494845360825
2,"July 2 - July 10",8,"Heatwave","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,9.15,6.85,0.337584115,26.1,1.4,0.4,0.12,0.43,0.01,0.96,2.5,10.593220338983
2,"July 10 - July 16",9,"Heatwave","Autumn warm","11-Jul",NA,1.439294465,-4.3e-08,-5.96e-05,4.75,9.5,6.8,0.341874224,26.3,1,0.45,0.15,0.45,0.01,1.06,0.199999999999999,0.766283524904212
2,"July 16 - July 23",10,"Heatwave","Autumn cold","24-Jul",NA,NA,NA,NA,2.5,9.35,6.5,0.335402525,27.2,1,0.47,0.14,0.45,0.01,1.07,0.899999999999999,3.42205323193916
2,"July 23 - July 30",11,"Heatwave","Autumn cold","24-Jul",NA,0.927285025,-7.14e-09,-9.9e-06,0.5,9.9,7,0.33321251,26.2,1,0.45,0.16,0.47,0.02,1.1,-1,-3.67647058823529
2,"July 30 - August 6",12,"Heatwave","Autumn cold","24-Jul",NA,NA,NA,NA,-1.5,8.15,7.45,0.331862986,25.7,NA,0.42,0.16,0.47,0.02,1.07,-0.5,-1.90839694656489
3,"May 13  - May 21",1,"Heatwave","Summer","11-Jun",NA,NA,NA,NA,10,5.65,7.4,0.306178681,NA,1.6,0,0,0,0.05,0.05,NA,NA
3,"May 21  - May 28",2,"Heatwave","Summer","11-Jun",NA,NA,NA,NA,10,5,7.75,0.314025335,NA,1.4,0,0.01,0,0.07,0.08,NA,NA
3,"May 28 - June 4",3,"Heatwave","Summer","11-Jun",NA,NA,NA,NA,10,5.2,7.8,0.315539664,NA,1.6,0.01,0.05,0.02,0.08,0.16,NA,NA
3,"June 4 - June 11",4,"Heatwave","Summer","11-Jun",NA,0.693681922,-1.96e-07,-0.000271,10,7.7,7.2,0.315740039,8.6,1.4,0.02,0.07,0.03,0.08,0.2,NA,NA
3,"June 11 - June 18",5,"Heatwave","Heatwave","24-Jun",NA,NA,NA,NA,16,8.9,7.1,0.31803988,10.1,1.6,0.03,0.1,0.03,0.08,0.24,1.5,17.4418604651163
3,"June 18 - June 25",6,"Heatwave","Heatwave","24-Jun",NA,2.002776328,-1.75e-08,-2.43e-05,16,8.9,6.95,0.323033142,11,1.2,0.05,0.15,0.06,0.08,0.34,0.9,8.91089108910892
3,"June 25 - July 2",7,"Heatwave","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,9.15,7.2,0.328654967,15.8,0.4,0.1,0.18,0.1,0.06,0.44,4.8,43.6363636363636
3,"July 2 - July 10",8,"Heatwave","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,8.95,6.95,0.337584115,17.5,1.6,0.2,0.18,0.11,0.05,0.54,1.7,10.7594936708861
3,"July 10 - July 16",9,"Heatwave","Autumn warm","11-Jul",NA,1.186136239,-1.08e-07,-0.000149,4.75,9.7,7.2,0.32594324,19.1,1,0.22,0.2,0.12,0.04,0.58,1.6,9.14285714285715
3,"July 16 - July 23",10,"Heatwave","Autumn cold","24-Jul",NA,NA,NA,NA,2.5,9.05,7,0.319896876,19.2,1,0.2,0.2,0.12,0.04,0.56,0.0999999999999979,0.523560209424073
3,"July 23 - July 30",11,"Heatwave","Autumn cold","24-Jul",NA,0.896214491,-2.51e-08,-3.48e-05,0.5,9.5,7,0.318811487,18.6,1,0.18,0.2,0.12,0.04,0.54,-0.599999999999998,-3.12499999999999
3,"July 30 - August 6",12,"Heatwave","Autumn cold","24-Jul",NA,NA,NA,NA,-1.5,9.2,7.45,0.315123476,18.6,NA,0.15,0.2,0.12,0.04,0.51,0,0
4,"May 13 2025 - May 21 2025",1,"Control","Summer","24-Jun",NA,NA,NA,NA,10,5.8,7.4,0.305852916,NA,1,0.03,0.01,0,0.02,0.06,NA,NA
4,"May 21 2025 - May 28 2025",2,"Control","Summer","24-Jun",NA,NA,NA,NA,10,6.85,7.4,0.309100467,NA,1.2,0.05,0.02,0,0.03,0.1,NA,NA
4,"May 28 - June 4",3,"Control","Summer","24-Jun",NA,NA,NA,NA,10,6.95,7.6,0.316207984,NA,1.4,0.1,0.15,0,0.02,0.27,NA,NA
4,"June 4 - June 11",4,"Control","Summer","24-Jun",NA,NA,NA,NA,10,9,7,0.322358611,16.8,1.6,0.12,0.2,0,0.01,0.33,NA,NA
4,"June 11 - June 18",5,"Control","Heatwave","24-Jun",NA,NA,NA,NA,10,8.25,7,0.328690208,21.8,1.4,0.15,0.23,0,0.01,0.39,5,29.7619047619048
4,"June 18 - June 25",6,"Control","Heatwave","24-Jun",NA,2.090546206,-1.67e-08,-2.31e-05,10,7.55,7,0.332499697,24,1.8,0.18,0.25,0,0.01,0.44,2.2,10.0917431192661
4,"June 25 - July 2",7,"Control","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,9.1,7,0.336348407,24.8,1,0.25,0.25,0,0.28,0.78,0.800000000000001,3.33333333333334
4,"July 2 - July 10",8,"Control","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,8.65,6.95,0.340751919,25.4,2,0.27,0.25,0,0.01,0.53,0.599999999999998,2.41935483870967
4,"July 10 - July 16",9,"Control","Autumn warm","11-Jul",NA,1.655950391,-3.36e-08,-4.65e-05,4.75,8.2,7,0.342697166,25.1,1,0.3,0.25,0,0.01,0.56,-0.299999999999997,-1.18110236220471
4,"July 16 -  July 23",10,"Control","Autumn cold","24-Jul",NA,NA,NA,NA,2.5,NA,NA,0.338965089,25.1,1,0.35,0.25,0,0.01,0.61,0,0
4,"July 23 - July 30",11,"Control","Autumn cold","24-Jul",NA,1.440285163,1.85e-10,2.57e-07,0.5,8.9,7.1,0.334461805,25.1,1,0.35,0.25,0,0.01,0.61,0,0
4,"July 30 - August 6",12,"Control","Autumn cold","24-Jul",NA,NA,NA,NA,-1.5,8.5,6.95,0.325066516,24.7,NA,0.32,0.25,0,0.01,0.58,-0.400000000000002,-1.59362549800798
5,"May 13 2025 - May 21 2025",1,"Control","Summer","24-Jun",NA,NA,NA,NA,10,5.1,7.5,0.304458565,NA,1.4,0,0.03,0,0.04,0.07,NA,NA
5,"May 21 2025 - May 28 2025",2,"Control","Summer","24-Jun",NA,NA,NA,NA,10,7.1,7.4,0.309872221,NA,1.2,0.01,0.05,0.03,0.04,0.13,NA,NA
5,"May 28 - June 4",3,"Control","Summer","24-Jun",NA,NA,NA,NA,10,6.9,7.6,0.312188498,NA,1.6,0.02,0.08,0.05,0.03,0.18,NA,NA
5,"June 4 - June 11",4,"Control","Summer","24-Jun",NA,NA,NA,NA,10,8.65,7.25,0.316741868,4.2,1.8,0.03,0.18,0.1,0.03,0.34,NA,NA
5,"June 11 - June 18",5,"Control","Heatwave","24-Jun",NA,NA,NA,NA,10,9.4,7.15,0.321237073,13.7,1.2,0.06,0.22,0.12,0.02,0.42,9.5,226.190476190476
5,"June 18 - June 25",6,"Control","Heatwave","24-Jun",NA,1.514392908,-2.52e-08,-3.49e-05,10,9.6,6.9,0.320675949,15.6,1.6,0.06,0.25,0.12,0.02,0.45,1.9,13.8686131386861
5,"June 25 - July 2",7,"Control","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,9.3,7.05,0.323854084,16.3,0.8,0.08,0.27,0.12,0.02,0.49,0.700000000000001,4.48717948717949
5,"July 2 - July 10",8,"Control","Autumn warm","11-Jul",NA,NA,NA,NA,6.625,9.95,6.95,0.322795861,18.5,1.4,0.09,0.27,0.12,0.02,0.5,2.2,13.4969325153374
5,"July 10 - July 16",9,"Control","Autumn warm","11-Jul",NA,1.114268832,-4.61e-08,-6.39e-05,4.75,9.95,6.95,0.323790698,18.9,0.8,0.1,0.28,0.12,0.01,0.51,0.399999999999999,2.16216216216215
5,"July 16 - July 23",10,"Control","Autumn cold","24-Jul",NA,NA,NA,NA,2.5,10,6.75,0.320056534,18.6,1,0.11,0.29,0.11,0.01,0.52,-0.299999999999997,-1.58730158730157
5,"July 23 - July 30",11,"Control","Autumn cold","24-Jul",NA,0.849082034,9.15e-09,1.27e-05,0.5,9.65,7.15,0.318578292,19.1,1,0.11,0.29,0.11,0.01,0.52,0.5,2.68817204301075
5,"July 30 - August 6",12,"Control","Autumn cold","24-Jul",NA,NA,NA,NA,-1.5,9.45,7.1,0.316305916,18.7,NA,0.1,0.29,0.08,0.01,0.48,-0.400000000000002,-2.09424083769635
6,"May 13 2025 - May 21 2025",-2,"Extended","Summer","11-Jun",NA,NA,NA,NA,10,5.6,7.65,0.307028732,NA,1.6,0,0.02,0.01,0.05,0.08,NA,NA
6,"May 21 2025 - May 28 2025",-1,"Extended","Summer","11-Jun",NA,NA,NA,NA,10,6.45,7.5,0.312113147,NA,1.4,0.01,0.05,0.03,0.08,0.17,NA,NA
